RN,RN_CD,geometry
울산고속도로,1000008,"0    LINESTRING (129.2605590986902 35.5521783447833...
Name: geometry, dtype: object"
동해고속도로,1000026,"0    LINESTRING (129.2436992008299 35.5354969712652...
Name: geometry, dtype: object"
산업로,3000104,"0    LINESTRING (129.3226169976822 35.5080720161685...
Name: geometry, dtype: object"
산업로,3000104,"0    LINESTRING (129.3088430109262 35.5032402966481...
Name: geometry, dtype: object"
화합로,3011003,"0    LINESTRING (129.3423929283966 35.5289171689590...
Name: geometry, dtype: object"
화합로,3011003,"0    LINESTRING (129.3427738945157 35.5280157884408...
Name: geometry, dtype: object"
화합로,3011003,"0    LINESTRING (129.3442981058613 35.5252790285394...
Name: geometry, dtype: object"
화합로,3011003,"0    LINESTRING (129.3419059755778 35.5297405158620...
Name: geometry, dtype: object"
개운로,3011004,"0    LINESTRING (129.3412771711851 35.4742476815492...
Name: geometry, dtype: object"
남창로,3011005,"0    LINESTRING (129.2982060707116 35.4983403679711...
Name: geometry, dtype: object"
울밀로,3011006,"0    LINESTRING (129.2626829324028 35.5561468381111...
Name: geometry, dtype: object"
웅촌로,3011007,"0    LINESTRING (129.2500567120407 35.5331721483911...
Name: geometry, dtype: object"
장생포로,3011008,"0    LINESTRING (129.343516901209 35.51993298357175...
Name: geometry, dtype: object"
번영로,3169026,"0    LINESTRING (129.3305794635313 35.5298409922620...
Name: geometry, dtype: object"
번영로,3169026,"0    LINESTRING (129.3304126144404 35.5254138535853...
Name: geometry, dtype: object"
북부순환도로,3169027,"0    LINESTRING (129.2636258846669 35.5499482504138...
Name: geometry, dtype: object"
갈밭로,3170001,"0    LINESTRING (129.3403594589697 35.5361347746270...
Name: geometry, dtype: object"
강남로,3170002,"0    LINESTRING (129.3079851749339 35.5488586671635...
Name: geometry, dtype: object"
거마로,3170003,"0    LINESTRING (129.2949177638912 35.5343287162796...
Name: geometry, dtype: object"
고사로,3170004,"0    LINESTRING (129.3392326840873 35.5139928431093...
Name: geometry, dtype: object"
꽃대나리로,3170005,"0    LINESTRING (129.3303246897747 35.5320833418702...
Name: geometry, dtype: object"
남부순환도로,3170006,"0    LINESTRING (129.2636258846669 35.5499482504138...
Name: geometry, dtype: object"
남산로,3170007,"0    LINESTRING (129.2902532062617 35.5458100714695...
Name: geometry, dtype: object"
남산로,3170007,"0    LINESTRING (129.2705637985421 35.5528770743465...
Name: geometry, dtype: object"
남중로,3170008,"0    LINESTRING (129.3470525644799 35.5342147507447...
Name: geometry, dtype: object"
