etl_ymd,etl_ymd_dateType,weekday,max_temp,min_temp,pm10_max,pm10_min,zungu_pm10_max,zungu_pm10_min
20180101,2018-01-01,0,5.5,-0.1,48,24,56,25
20180102,2018-01-02,1,7.6,-0.4,122,34,122,37
20180103,2018-01-03,2,4.6,-1.8,58,9,70,17
20180104,2018-01-04,3,5.4,-2.9,48,13,49,20
20180105,2018-01-05,4,7.9,0.5,57,16,67,24
20180106,2018-01-06,5,6.8,-2.2,34,16,45,14
20180107,2018-01-07,6,8.2,-2,59,18,61,27
20180108,2018-01-08,0,6.1,3.2,54,7,46,14
20180109,2018-01-09,1,4.1,-1.2,38,10,45,14
20180110,2018-01-10,2,0.6,-5.6,32,9,41,12
20180111,2018-01-11,3,-2.6,-7.7,23,7,27,13
20180112,2018-01-12,4,-2.3,-9.3,29,5,29,9
20180113,2018-01-13,5,3.2,-5.9,62,16,73,19
20180114,2018-01-14,6,8.9,-3.2,77,36,74,27
20180115,2018-01-15,0,13.9,1.2,56,22,69,15
20180116,2018-01-16,1,11.4,2.9,87,18,104,21
20180117,2018-01-17,2,7.8,3,27,5,32,8
20180118,2018-01-18,3,9.9,2.6,146,15,140,20
20180119,2018-01-19,4,9.1,1,106,27,117,37
20180120,2018-01-20,5,8.9,0.3,127,41,112,36
20180121,2018-01-21,6,8.8,0.9,117,56,102,56
20180122,2018-01-22,0,8.6,3.3,63,38,72,39
20180123,2018-01-23,1,5.8,-6.1,41,5,51,18
20180124,2018-01-24,2,-5.1,-10.9,28,10,31,15
20180125,2018-01-25,3,-2.1,-11.6,25,9,34,15
20180126,2018-01-26,4,-3,-12.2,31,7,32,14
20180127,2018-01-27,5,3.4,-10.4,48,16,54,16
20180128,2018-01-28,6,3.3,-1.2,42,8,49,10
20180129,2018-01-29,0,0.2,-6.5,41,15,41,19
20180130,2018-01-30,1,1.4,-6.3,54,23,55,22
20180131,2018-01-31,2,6.6,-3,63,28,63,27
20180201,2018-02-01,3,5.9,-1.3,45,23,63,28
20180202,2018-02-02,4,6,-1.6,66,20,86,25
20180203,2018-02-03,5,0.9,-5,61,14,67,19
20180204,2018-02-04,6,-2.1,-8.3,38,9,35,16
20180205,2018-02-05,0,-1.7,-8.1,40,6,32,13
20180206,2018-02-06,1,-2.3,-9.2,27,10,29,18
20180207,2018-02-07,2,1.4,-10.7,23,10,33,15
20180208,2018-02-08,3,5.5,-5.5,75,15,70,23
20180209,2018-02-09,4,11.8,-1.4,112,19,78,34
20180210,2018-02-10,5,9.5,1.5,102,22,109,35
20180211,2018-02-11,6,1.2,-4.8,83,22,75,31
20180212,2018-02-12,0,2.6,-5.5,42,20,48,22
20180213,2018-02-13,1,6.4,-3.9,38,15,69,23
20180214,2018-02-14,2,13.9,0.9,68,30,68,34
20180215,2018-02-15,3,9.4,2.1,78,42,83,46
20180216,2018-02-16,4,10.7,-0.7,64,7,66,16
20180217,2018-02-17,5,6.9,-1.3,50,8,51,15
20180218,2018-02-18,6,7.8,-1.1,33,15,47,17
20180219,2018-02-19,0,10.1,2.1,81,31,89,31
20180220,2018-02-20,1,11.1,1.4,94,48,96,53
20180221,2018-02-21,2,6.4,0.4,52,23,64,27
20180222,2018-02-22,3,7.4,-2.7,60,30,61,30
20180223,2018-02-23,4,11.9,-1.8,107,46,102,46
20180224,2018-02-24,5,11.4,4.4,90,41,98,54
20180225,2018-02-25,6,10.8,4,69,40,76,40
20180226,2018-02-26,0,9.2,0.6,84,35,87,42
20180227,2018-02-27,1,15,1.2,84,37,83,42
20180228,2018-02-28,2,11.5,5.7,90,6,102,8
20180301,2018-03-01,3,11.2,2.1,39,1,42,3
20180302,2018-03-02,4,9,-2.1,68,23,70,29
20180303,2018-03-03,5,15.2,2.2,77,26,70,32
20180304,2018-03-04,6,18,6.7,52,18,61,21
20180305,2018-03-05,0,13,3.2,27,1,30,5
20180306,2018-03-06,1,7.7,3.2,32,14,38,18
20180307,2018-03-07,2,7.3,5.2,33,6,36,12
20180308,2018-03-08,3,4.7,2.5,10,1,19,2
