etl_ymd,timezn_cd,admi_cd,admi_rn,RN_CD,address,event,event_location,event_detail,id
20180220,19,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,AFC 챔피언스리그 울산 : 가와사키,
20180313,16:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 상주,
20180313,19:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,AFC 챔피언스리그 울산 : 상하이,
20180318,14:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 제주,
20180404,19:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,AFC 챔피언스리그 울산 : 멜버른,
20180408,16:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 강원,
2018.04.14,14:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 서울,
2018.04.25,19:30,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 인천,
2018.04.28,16:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 전남,
2018.05.05,14:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 포항,
2018.05.09,20:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,AFC 챔피언스리그 울산 : 수원,
2018.05.13,16:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 경남,
2018.06.18,19:00~23:00,,옥동,,울산광역시 남구 문수로 44,soccer,남구 문수호반광장,러시아 월드컵 한국 : 스웨덴 거리 응원,
2018.06.18,21:00~,,삼산동,,울산광역시 남구 삼산동 화합로 185,soccer,울산 삼산 CGV,러시아 월드컵 한국 : 스웨덴 생중계,
2018.06.24,00:00~,,삼산동,,울산광역시 남구 삼산동 화합로 185,soccer,울산 삼산 CGV,러시아 월드컵 한국 : 멕시코 생중계,
2018.06.27,23:00~,,삼산동,,울산광역시 남구 삼산동 화합로 185,soccer,울산 삼산 CGV,러시아 월드컵 한국 : 독일 생중계,
2018.07.11,19:30,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 전북,
2018.07.22,19:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 대구,
2018.08.12,19:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 수원,
2018.08.22,19:30,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 상주,
2018.08.25,19:30,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 서울,
2018.09.15,14:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 포항,
2018.09.26,15:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 제주,
2018.10.07,16:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 전북,
2018.10.20,14:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 강원,
2018.10.28,16:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 경남,
2018.11.25,14:00,,옥동,,울산광역시 남구 문수로 44,soccer,울산문수축구경기장,프로축구 울산 : 제주,
2018.04.10,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : 넥센,
2018.04.11,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : 넥센,
2018.04.12,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : 넥센,
2018.07.14,18:00,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 올스타전,
2018.08.07,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : LG,
2018.08.08,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : LG,
2018.09.06,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : SK,
2018.09.07,18:30,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,프로야구 롯데 : SK,
2018.06.22,13:00,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,퓨처스리그 롯데 : 소프트뱅크,
2018.06.23,13:00,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,퓨처스리그 롯데 : 소프트뱅크,
2018.06.24,13:00,,옥동,,울산광역시?남구?문수로 44,baseball,울산 문수 야구장,퓨처스리그 롯데 : 소프트뱅크,
